run_tag,step,t_ms,gpu_alloc_gib,gpu_reserved_gib,cpu_rss_gib
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,849.747,6.817873,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,876.319,6.684749,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,902.466,6.567254,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,928.697,6.449754,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,954.675,6.316630,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,981.216,6.222568,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1007.594,6.175689,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1034.677,6.003514,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1061.256,5.908956,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1087.746,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1114.336,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1140.451,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1166.649,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1192.755,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1219.055,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1245.702,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1271.932,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,3,1298.385,6.433854,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,0.846,3.229020,13.833984,1.429573
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,26.626,5.437806,13.833984,1.429577
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,52.941,7.886507,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,78.974,8.547624,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,104.945,8.880105,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,131.308,9.455155,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,157.613,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,184.000,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,210.929,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,237.323,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,263.435,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,289.648,9.605676,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,315.916,10.763895,13.833984,1.429585
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,342.395,10.763895,13.833984,1.429588
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,368.641,10.763895,13.833984,1.429588
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,395.035,8.767875,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,421.275,8.599641,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,448.138,8.571931,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,474.228,8.430995,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,500.490,8.313495,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,526.903,8.231274,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,553.113,8.149117,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,579.566,7.965025,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,605.819,7.796805,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,632.171,7.690964,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,658.758,7.616620,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,684.892,7.483495,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,711.481,7.350371,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,738.580,7.142841,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,764.831,7.037259,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,790.931,6.868841,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,817.355,6.856944,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,843.400,6.684749,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,869.636,6.551625,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,896.093,6.441938,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,922.484,6.355689,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,948.536,6.160064,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,975.031,6.050381,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1001.207,5.916769,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1028.204,6.433854,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1054.420,6.433854,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1080.526,6.433854,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1106.944,6.433854,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1133.109,6.433854,13.833984,1.429729
20251225_231102_T1M3_headce_full_ckpt0_seq1024_bs2_bf16,4,1159.171,6.433854,13.833984,1.429729
